,ticker,setor,ano_tri,data_base,preco,upside,upside_tri,roc,roc_tri,roe,roe_tri,roic,p_vp,p_l,p_ebit,ev_ebitda,enterprise_value,earning_yield,margem_bruta,margem_ebit,margem_liquida,endividamento,dividend_yield,volume
170,MDNE3,construção,20224T,2023-04-03,4.94,1.58893464,0.19202937,0.03979928,0.02570833,0.08918054,0.034641,0.06717716,0.3494,3.9184,4.7013,3.0581,282982.0,0.30942305,0.33328205,0.109516,0.13139894,-0.10922424,0.0,1049.584
171,BRSR6,banco,20224T,2023-04-03,9.82,0.70604975,1.14437441,0.0,0.0,0.08846795,0.11490051,0.0,0.4218,4.7684,5.2814,0.0,0.0,0.0,0.3036095,0.0584196,0.0647051,0.0,0.00372871,10162.557
172,BRSR3,banco,20224T,2023-04-03,11.0,0.52303714,0.91434151,0.0,0.0,0.08846795,0.11490051,0.0,0.4725,5.3414,5.9161,0.0,0.0,0.0,0.3036095,0.0584196,0.0647051,0.0,0.00332873,79.127
173,SBFG3,varejo,20224T,2023-04-03,8.0,1.35071891,4.788936,0.07466967,0.13745495,0.08490224,0.23348468,0.08198081,0.8087,9.5247,4.8497,7.0655,4022190.0,0.09990478,0.46974439,0.06418381,0.03268033,0.86039279,0.01469492,36838.216
174,CRPG5,químico,20224T,2023-04-03,26.85,-1.09132836,-3.51804447,0.03969766,0.0862832,0.08450459,0.17906492,0.03460547,0.9632,11.3986,27.4775,11.3611,574532.0,0.04935492,0.06274741,0.03532041,0.08514341,-0.25296486,0.11910621,38.002
175,AMBP3,saneamento,20224T,2023-04-03,20.15,0.62730172,0.73652034,0.11710816,0.1654879,0.08367897,0.06979339,0.08473803,1.7511,20.9265,3.1967,6.177,6466763.0,0.11008289,0.2217993,0.18784149,0.02869419,3.2250479,0.0,29888.185
176,USIM5,siderurgico,20224T,2023-04-03,7.19,2.39960593,0.03009751,0.08988005,-0.1378882,0.08084476,-0.12960338,0.08310411,0.3419,4.2287,3.3191,2.7949,9975364.0,0.26730062,0.17491795,0.08211824,0.06445507,0.04346442,0.13934458,83140.396
177,USIM3,siderurgico,20224T,2023-04-03,7.78,2.1417952,-0.04802043,0.08988005,-0.1378882,0.08084476,-0.12960338,0.08310411,0.3699,4.5757,3.5915,2.9984,10701595.0,0.24916108,0.17491795,0.08211824,0.06445507,0.04346442,0.12877732,1454.554
178,BMOB3,tecnologia,20224T,2023-04-03,13.44,0.48405037,0.46035275,0.19307232,0.20651564,0.08083505,0.08540178,0.09322492,1.1059,13.6809,11.8627,3.7396,591516.0,0.16682727,0.21480271,0.06686502,0.05797846,-0.54708907,0.01528672,4939.575
179,PNVL3,saúde,20224T,2023-04-03,9.4,-0.61232786,-0.46395542,0.07469158,0.07906965,0.07791731,0.08710279,0.0693463,1.2642,16.2252,10.2048,6.5718,2115153.0,0.06490548,0.31137596,0.03440317,0.02163777,0.64447707,0.01766779,4856.817
180,EZTC3,construção,20224T,2023-04-03,12.05,-0.43513583,-0.67885273,0.05507963,0.02318828,0.0753715,0.02999288,0.04732013,0.5856,7.7699,11.0873,9.6047,2416974.0,0.09919261,0.3426761,0.21381838,0.30510943,-0.05312932,0.06462788,51186.444
181,QUAL3,saúde,20224T,2023-04-03,3.6,2.2224866,-1.55378227,0.11443779,-0.06428169,0.07480352,-0.23022658,0.1002375,0.7389,9.8781,2.7669,3.2787,2549852.0,0.14208239,0.77236129,0.18565518,0.05200245,1.14068026,0.07819244,19137.69
